method,req,n,n_apps,calls_app1,max_app1,min_app1,mean_app1,std_app1,ovh_per_req,ct_per_req,calls_app2,calls_app3,max_app2,max_app3,min_app2,min_app3,mean_app2,mean_app3,std_app2,std_app3,calls_app4,calls_app5,max_app4,max_app5,min_app4,min_app5,mean_app4,mean_app5,std_app4,std_app5,calls_app6,calls_app7,max_app6,max_app7,min_app6,min_app7,mean_app6,mean_app7,std_app6,std_app7
rr,s,100,7,14,0.056429,0.054576,0.0554237857142857,0.0005056554697436,0.00011202,0.01329618,15.0,15.0,0.00728,0.00988,0.003911,0.003868,0.0050461999999999,0.0059901333333333,0.0009023770239391,0.0018846598584949,14.0,14.0,0.010533,0.010271,0.00393,0.004367,0.0062555714285714,0.0067152142857142,0.0018893388002263,0.0018871212838066,14.0,14.0,0.014671,0.008526,0.003951,0.003893,0.0064632857142857,0.0054859999999999,0.0027529877906576,0.0015147271324282
ls,f,100,1,100,0.106266,0.054373,0.06509953,0.0115253848260741,0.0001025399999999,0.00851236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ls,r,100,1,100,0.070166,0.05433,0.0557811,0.0018200583040111,0.0001548599999999,0.108439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ls,s,100,1,100,0.082985,0.05479,0.05719502,0.0033325749743404,0.0001334099999999,0.05781985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ls,f,100,3,8,0.094015,0.060865,0.072556,0.0105953297494698,0.00014907,0.00581473,68.0,24.0,0.089188,0.083384,0.007124,0.012661,0.0372987352941176,0.047383875,0.0171880716945499,0.0171611205765447,,,,,,,,,,,,,,,,,,,,
ls,r,100,3,1,0.056742,0.056742,0.056742,0.0,0.0001643899999999,0.05374254,1.0,98.0,0.006444,0.060953,0.006444,0.003923,0.006444,0.0060367959183673,0.0,0.0057635154184541,,,,,,,,,,,,,,,,,,,,
ls,s,100,3,1,0.057526,0.057526,0.057526,0.0,0.00011842,0.00706431,39.0,60.0,0.011971,0.014932,0.004537,0.004491,0.0063574358974358,0.0060348333333333,0.0016310101761205,0.0017151315126122,,,,,,,,,,,,,,,,,,,,
ls,f,100,5,8,0.135891,0.081793,0.1077725,0.0172298483017117,0.00011951,0.0055043299999999,23.0,12.0,0.089057,0.08353,0.006071,0.006341,0.0392708695652173,0.0401741666666666,0.0233228264233623,0.0231823668975413,3.0,54.0,0.050636,0.059882,0.022396,0.013372,0.0396543333333333,0.0336387222222222,0.0123537257088252,0.0112461385132798,,,,,,,,,,
ls,r,100,5,1,0.058607,0.058607,0.058607,0.0,0.00016984,0.06048472,3.0,92.0,0.022085,0.021751,0.004251,0.004053,0.0113393333333333,0.006130402173913,0.0077263598299731,0.0022543810586991,3.0,1.0,0.006754,0.006601,0.005836,0.006601,0.0063013333333333,0.006601,0.0003748789434233,0.0,,,,,,,,,,
ls,s,100,5,1,0.059493,0.059493,0.059493,0.0,0.00011009,0.00696623,1.0,1.0,0.006292,0.0062,0.006292,0.0062,0.006292,0.0062,0.0,0.0,3.0,94.0,0.013074,0.016962,0.005707,0.003791,0.0082386666666666,0.005960914893617,0.0034203637558339,0.0018448038508405,,,,,,,,,,
ls,f,100,7,8,0.109073,0.064545,0.086125125,0.0144413912369748,0.0001241499999999,0.00453482,13.0,9.0,0.068716,0.047839,0.004486,0.004321,0.0335083846153846,0.0235127777777777,0.0202909262386245,0.0124047614763021,13.0,22.0,0.073035,0.0764,0.006479,0.010385,0.029755,0.0298242727272727,0.020868497115177,0.0174091067343863,30.0,5.0,0.073983,0.040577,0.005949,0.010868,0.0302203666666666,0.0244422,0.0183083186220241,0.0097463889394995
ls,r,100,7,1,0.057193,0.057193,0.057193,0.0,0.00016254,0.0566667499999999,83.0,1.0,0.01394,0.006783,0.004033,0.006783,0.0053954457831325,0.006783,0.0015090206131514,0.0,1.0,3.0,0.006382,0.013341,0.006382,0.004319,0.006382,0.007982,0.0,0.0038735369711242,6.0,5.0,0.021534,0.012141,0.004189,0.004488,0.0077155,0.0067458,0.0062058515598855,0.0029094238192466
ls,s,100,7,1,0.056766,0.056766,0.056766,0.0,0.0001104299999999,0.00652055,4.0,2.0,0.007732,0.007137,0.005817,0.006219,0.00662575,0.006678,0.0007027191384187,0.000459,8.0,81.0,0.012704,0.011285,0.004984,0.003596,0.00650825,0.0054401728395061,0.0024996827173663,0.0014537916181117,3.0,1.0,0.008005,0.006355,0.005494,0.006355,0.0063756666666666,0.006355,0.0011534106910473,0.0
lt,f,100,1,100,0.107211,0.054496,0.06264136,0.0105022076246092,0.00013237,0.00825066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lt,r,100,1,100,0.060479,0.054291,0.05577226,0.0010604373212972,0.00017454,0.1005857999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lt,s,100,1,100,0.065391,0.054276,0.05591155,0.0017204390740447,0.00010999,0.0564357199999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lt,f,100,3,8,0.085089,0.058776,0.073022375,0.0084229016517097,0.00013261,0.00451063,52.0,40.0,0.077315,0.070513,0.005793,0.010294,0.0269911538461538,0.03399745,0.0150308263493915,0.0164498126280362,,,,,,,,,,,,,,,,,,,,
lt,r,100,3,1,0.058037,0.058037,0.058037,0.0,0.00017604,0.05955496,21.0,78.0,0.012398,0.011783,0.004138,0.003995,0.0050985714285714,0.0056983333333333,0.0017518352437054,0.0015360225331101,,,,,,,,,,,,,,,,,,,,
lt,s,100,3,1,0.056176,0.056176,0.056176,0.0,0.0001928899999999,0.00769744,3.0,96.0,0.018971,0.015068,0.00626,0.004057,0.0110899999999999,0.0065952083333333,0.0056198357627247,0.0019115157866024,,,,,,,,,,,,,,,,,,,,
